Country,Source,Total Articles,Total Historical Data
Australia,ABC Australia,25,Current Feed Only
Bangladesh,Daily Star,20,Current Feed Only
Brazil,G1,100,Current Feed Only
China,China Daily,41,Current Feed Only
France,Le Monde,18,Current Feed Only
India,TOI,20,Current Feed Only
Italy,ANSA,28,Current Feed Only
Japan,NHK,7,Current Feed Only
Middle East,Al Jazeera,25,Current Feed Only
Philippines,PhilStar,10,Current Feed Only
Russia,TASS,100,Current Feed Only
Singapore,Straits Times,51,Current Feed Only
South Korea,Korea Times,51,Current Feed Only
Turkey,Hurriyet,64,Current Feed Only
USA,CNN,50,Current Feed Only
USA,NPR,10,Current Feed Only
USA,NYTimes,31,Current Feed Only
Unknown,Unknown,37,Current Feed Only
